影城名称,放映系统,开业时间,银幕宽度(米),银幕高度(米),座位数(个),备注
孝感金逸影城(汉川IMAX店) ,IMAX数字,2017年1月21日,19.99,10.64,239,-
黄冈万达影城(万达广场店) ,IMAX数字,2018年6月22日,  ,  ,372,-
仙桃金逸影城(环球中心IMAX店) ,IMAX数字,2020年8月20日,21.92,11.55,312,-
深圳UA KK Mall影城 ,IMAX数字,2016年1月9日,21.64,11.61,327,-
深圳中影国际影城(欢乐海岸店) ,IMAX数字,2011年12月23日,  ,  ,326,-
深圳万达影城(海雅广场店) ,IMAX数字,2017年9月27日,17.87,9.089,302,-
深圳橙天嘉禾影城(观澜湖店) ,IMAX数字,2016年1月15日,22.78,11.93,374,-
深圳卢米埃影城(九方店) ,IMAX数字,2016年1月22日,19.73,10.52,288,-
深圳星美国际影商城(京基店) ,IMAX数字,2016年8月6日,21.08,11.16,325,-
深圳橙天嘉禾影城(卓悦汇店),IMAX数字,2016年8月30日,24.44,12.89,500,-
深圳百川影城(新沙天虹店),IMAX数字,2016年12月22日,  ,  ,294,-
深圳卢米埃影城(汇港店) ,IMAX数字,2017年1月1日,22.78,11.86,331,-
深圳CGV影城(壹方城店) ,IMAX数字,2017年9月27日,  ,  ,324,-
深圳百老汇电影中心(IMAX万象天地店) ,IMAX数字,2017年10月,  ,  ,398,-
深圳博纳国际影城(海航城IMAX店) ,IMAX数字,2018年2月3日,23.07,11.74,473,-
深圳中影晴瑞国际影城 ,IMAX数字,2018年2月6日,   ,,380,-
深圳英皇UA电影城(深业上城店) ,IMAX数字,2018年2月8日,  ,  ,387,-
深圳万象影城(布吉万象汇店) ,IMAX数字,2018年4月26日,22.74,11.7,325,-
深圳CINESKY新天影院IMAX ,IMAX数字,2018年8月19日,   ,,583,-
深圳星河寰宇IMAX影城（星河WORLD店） ,IMAX数字,2018年11月9日,18.31,9.65,293,-
深圳萬達影城（壹海城·ONE MALL店）,IMAX数字,2019年2月3日,20.12,10.42,269,-
深圳CGV影城(One Avenue卓悦中心店),IMAX Commercial Laser ,2019年9月18日,22.85,11.76,368,12聲道音響系統
深圳金逸影城（光明大仟里IMAX店）,IMAX数字,2019年12月1日,,,341,-
深圳万象影城（天安数码城激光IMAX店) ,IMAX Commercial Laser ,2020年1月1日,,,,5.1聲道音響系統
深圳英皇电影城（平安金融中心店) ,IMAX Commercial Laser ,2020年7月24日,20.8,11,277,12聲道音響系統
深圳万达影城（勤诚达正大城店）,IMAX数字,2020年9月27日,20.44,10.62,286,-
深圳金逸影城（宝安大仟里店）,IMAX Commercial Laser ,2020年12月18日,22.74,11.8,341,-
深圳CGV影城(红山6979店),IMAX Commercial Laser ,2021年2月25日,22.24,11.572,308,12聲道音響系統
惠州佳兆业国际影城（原名惠州凯狮国际影城 ）,IMAX数字,2013年12月30日,  ,  ,555,-
惠州万达影城(大亚湾万达广场店) ,IMAX数字,2017年11月24日,  ,  ,391,-
惠州万达影城(金山湖店) ,IMAX数字,2020年12月18日,21.28,11.09,198,-
佛山金逸影城(鹏瑞利IMAX店) ,IMAX数字,2014年7月1日,  ,  ,332,-
佛山万达影城(南海万达广场店) ,IMAX数字,2019年8月10日,22.24,11.62,409,-
佛山CGV星星影城（星耀101店） ,IMAX数字,2015年9月23日,  ,  ,440,-
佛山中视国际影城(富弘广场店),IMAX数字,2015年12月18日,  ,  ,380,-
佛山万达影城(三水万达广场店) ,IMAX数字,2016年11月28日,21.22,11.27,352,-
佛山万达影城(越秀悦汇天地店) ,IMAX数字,2016年12月9日,18.49,9.98,229,-
佛山越界思哲影城(三水新动力店),IMAX数字,2017年3月3日,23.42,12.41,359,-
佛山CC影城(永旺IMAX店),IMAX数字,2018年1月12日,  ,  ,381,-
佛山金逸影城(顺德大信IMAX店),IMAX数字,2018年12月30日,25.96,13.65,428,-
佛山万达影城(顺德悦然广场店),IMAX数字,2020年10月1日,21.43,11.63,259,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
佛山CGV影城(海骏达店),IMAX数字,2020年12月18日,21.82,11.48,-,-
中山CGV星星影城(兴中广场店) ,IMAX数字,2013年6月28日,20.97,10.862,348,-
